_id,titulo,portada,slug,descripcion,etiqueta,clasificacion,categoria,subcategorias,labels,estado,createdAT,__v
68044757e58fe4e2192f1b3c,Set Colección Sweet Max 165,a1d6b916-d295-4352-af3a-48783d6dccf3.jpg,set-coleccion-sweet-max-165,Calidad premium y estilo contemporáneo. La combinación perfecta de practicidad y tendencia actual.,Edición Limitada,Niñas,680446d22a16ea324e2a7dc2,Colecciones Infantiles,['etiqueta_1'],True,2025-04-16 23:46:17,0
68044757e58fe4e2192f1b41,Case Phone Lite 575,fcfc596b-21cc-4159-81ea-75f03ca0c7e5.jpg,case-phone-lite-575,Línea exclusiva con los más altos estándares de calidad. Un producto indispensable para tu día a día.,Exclusivo,Masculino,680446d22a16ea324e2a7dbb,Cargadores,"['etiqueta_1', 'etiqueta_2']",False,2025-04-17 00:17:17,0
68044757e58fe4e2192f1b49,Tenis Sport Kid Premium 420,ac31fd2f-c783-4727-aee6-1565ccb81494.jpg,tenis-sport-kid-premium-420,Funcionalidad excepcional con detalles prácticos. La opción ideal para quienes valoran la calidad y el diseño.,Edición Limitada,Niños,680446d22a16ea324e2a7db9,Zapatillas Casual,"['etiqueta_1', 'etiqueta_2']",True,2025-04-17 01:15:17,0
68044757e58fe4e2192f1b66,Cargador Color 2.0 972,fd5e95d3-a0c2-4ae3-8ca7-5e46d4cf6074.jpg,cargador-color-2-0-972,"Fabricado con los mejores materiales, ofrece comodidad y espacio. Su diseño único refleja tu personalidad.",Edición Limitada,Femenino,680446d22a16ea324e2a7dbc,Cargadores,['etiqueta_1'],True,2025-04-17 01:35:17,0
68044757e58fe4e2192f1b70,Case Phone Cute Premium 645,6e8120ac-2fc2-448f-b661-2825d31654c2.jpg,case-phone-cute-premium-645,Línea exclusiva con los más altos estándares de calidad. Un producto indispensable para tu día a día.,Nuevo,Niñas,680446d22a16ea324e2a7dbe,Gadgets Infantiles,"['etiqueta_1', 'etiqueta_2']",False,2025-04-16 23:21:17,0
68044757e58fe4e2192f1b7b,Kit Edición Limitada Fashion Plus 847,bd6e037f-2173-4e23-a283-cc281e53f484.jpg,kit-edicion-limitada-fashion-plus-847,"Diseño ergonómico y resistente, ideal para uso diario. Con compartimentos organizados para satisfacer todas tus necesidades.",Edición Limitada,Femenino,680446d22a16ea324e2a7dc0,Premium,"['etiqueta_1', 'etiqueta_2', 'etiqueta_3', 'etiqueta_4', 'etiqueta_5']",True,2025-04-17 01:14:17,0
68044757e58fe4e2192f1b82,Mochila Junior Pink Plus 101,f532dbf9-03e7-4e84-b14b-558b7b0b51e9.jpg,mochila-junior-pink-plus-101,Calidad premium y estilo contemporáneo. La combinación perfecta de practicidad y tendencia actual.,Exclusivo,Niñas,680446d22a16ea324e2a7dae,Loncheras,"['etiqueta_1', 'etiqueta_2']",True,2025-04-17 02:14:17,0
68044757e58fe4e2192f1b8c,Pantalón Cargo Pro 117,506b4636-e42c-478e-8767-35ddde0a3e87.jpg,pantalon-cargo-pro-117,Innovación y diseño de vanguardia. Un producto que destaca por su durabilidad y detalles cuidadosamente seleccionados.,Destacado,Masculino,680446d22a16ea324e2a7db3,Pantalones,"['etiqueta_1', 'etiqueta_2', 'etiqueta_3', 'etiqueta_4', 'etiqueta_5']",True,2025-04-16 23:49:17,0
68044757e58fe4e2192f1b8f,Mochila Premium Gold Premium 814,537112de-cc81-49a1-9474-b116be1cfbe6.jpg,mochila-premium-gold-premium-814,Elaborado con tecnología de punta y materiales sostenibles. Un producto que cuida de ti y del medio ambiente.,Nuevo,Femenino,680446d22a16ea324e2a7dc0,Colecciones Limitadas,"['etiqueta_1', 'etiqueta_2', 'etiqueta_3']",True,2025-04-17 00:25:17,0
68044757e58fe4e2192f1b9a,Sudadera College Pro 914,07e5d4f2-c9d8-4b8c-8cfd-54ad3d8cb52d.jpg,sudadera-college-pro-914,Material duradero y tecnología avanzada. Combina funcionalidad y estilo para acompañarte en todas tus actividades.,Edición Limitada,Masculino,680446d22a16ea324e2a7db3,Pantalones,"['etiqueta_1', 'etiqueta_2', 'etiqueta_3']",True,2025-04-17 01:07:17,0
68044757e58fe4e2192f1bae,Chaqueta Junior 2.0 625,d7ab8bcd-5416-4029-8574-eb73f791628e.jpg,chaqueta-junior-2-0-625,Elaborado con tecnología de punta y materiales sostenibles. Un producto que cuida de ti y del medio ambiente.,Nuevo,Niños,680446d22a16ea324e2a7db5,Chaquetas,['etiqueta_1'],False,2025-04-16 23:42:17,0
68044757e58fe4e2192f1bbe,Cartuchera Dream Lite 521,91a4c259-be72-4de8-90fa-e7510c42c48e.jpg,cartuchera-dream-lite-521,Línea exclusiva con los más altos estándares de calidad. Un producto indispensable para tu día a día.,Nuevo,Niñas,680446d22a16ea324e2a7db2,Loncheras,"['etiqueta_1', 'etiqueta_2', 'etiqueta_3', 'etiqueta_4']",False,2025-04-17 01:03:17,0
68044757e58fe4e2192f1bc5,Set Colección Infantil Premium 957,3d268934-f64f-46b9-98ee-8bf6edf31ee4.jpg,set-coleccion-infantil-premium-957,"Fabricado con los mejores materiales, ofrece comodidad y espacio. Su diseño único refleja tu personalidad.",Edición Limitada,Niños,680446d22a16ea324e2a7dc1,Personajes,"['etiqueta_1', 'etiqueta_2', 'etiqueta_3']",True,2025-04-17 02:28:17,0
68044757e58fe4e2192f1bcf,Maleta Weekend Max 774,57c78813-be17-4f6f-a75a-ad1f921d2d92.jpg,maleta-weekend-max-774,Elaborado con tecnología de punta y materiales sostenibles. Un producto que cuida de ti y del medio ambiente.,Edición Limitada,Masculino,680446d22a16ea324e2a7dac,Bolsos Deportivos,['etiqueta_1'],True,2025-04-17 00:08:17,0
68044757e58fe4e2192f1bd6,Camiseta Logo Plus 440,740e0d8e-a1e6-411a-be41-aebe5fd72e21.jpg,camiseta-logo-plus-440,"Diseño ergonómico y resistente, ideal para uso diario. Con compartimentos organizados para satisfacer todas tus necesidades.",Exclusivo,Masculino,680446d22a16ea324e2a7db3,Camisetas,"['etiqueta_1', 'etiqueta_2', 'etiqueta_3', 'etiqueta_4']",False,2025-04-17 02:07:17,0
68044757e58fe4e2192f1be3,Pantalón Play Pro 294,3d9adebf-d256-4294-885a-7293c04fa00a.jpg,pantalon-play-pro-294,Línea exclusiva con los más altos estándares de calidad. Un producto indispensable para tu día a día.,Destacado,Niños,680446d22a16ea324e2a7db5,Pantalones,"['etiqueta_1', 'etiqueta_2']",True,2025-04-17 00:03:17,0
68044757e58fe4e2192f1bfb,Camiseta Fun Pro 367,fd085ca9-0991-4c62-a626-3fe199188040.jpg,camiseta-fun-pro-367,Calidad premium y estilo contemporáneo. La combinación perfecta de practicidad y tendencia actual.,Exclusivo,Niños,680446d22a16ea324e2a7db5,Pantalones,"['etiqueta_1', 'etiqueta_2', 'etiqueta_3', 'etiqueta_4']",False,2025-04-16 23:39:17,0
68044757e58fe4e2192f1c0b,Camiseta Princess Plus 533,d76504f5-5ce2-4c39-b2fe-086c4afb7517.jpg,camiseta-princess-plus-533,Diseño minimalista pero funcional. Perfecto para quienes buscan simplicidad sin renunciar al estilo.,Exclusivo,Niñas,680446d22a16ea324e2a7db6,Chaquetas,"['etiqueta_1', 'etiqueta_2', 'etiqueta_3', 'etiqueta_4']",True,2025-04-17 02:39:17,0
